,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
44,19금만남의목적,2016-08-18,,left_only
45,19금만남의목적,2016-09-02,이세일,right_only
61,2012,2009-11-12,롤랜드 에머리히,right_only
62,2012,2013-06-13,,left_only
65,2014지구최후의날,2014-06-11,테리 커닝햄,right_only
66,2014지구최후의날,2014-06-12,,left_only
88,2AMSHOW,2010-12-02,,left_only
89,2AMSHOW,2010-12-09,정성복,right_only
91,2차노출,2013-09-05,,left_only
92,2차노출,2013-09-12,리 위,right_only
93,2차세계대전타임트랙,2016-07-07,,left_only
94,2차세계대전타임트랙,2016-07-21,에밀 에드윈 스미스,right_only
107,400데이즈,2015-11-12,,left_only
108,400데이즈,2015-12-02,매트 오스터만,right_only
112,47미터,2017-07-19,조하네스 로버츠,right_only
113,47미터,2017-07-20,,left_only
117,4명의암살자,2014-12-23,,left_only
118,4명의암살자,2015-01-05,스텐리 J. 오젤,right_only
119,500일의썸머,2010-01-21,마크 웹,right_only
120,500일의썸머,2016-06-29,,left_only
147,6웨이투다이,2017-08-31,,left_only
148,6웨이투다이,2017-09-05,나딤 사우마,right_only
196,LA대지진,2017-03-22,,left_only
197,LA대지진,2017-03-23,데이비드 지달리,right_only
205,O의정사2,2012-01-19,,left_only
206,O의정사2,2012-04-13,카타오카 슈지,right_only
248,가면무도회,2013-06-29,데이비드 알덴,right_only
249,가면무도회,2015-09-12,안드레아 바티스토니,right_only
250,가면무도회,2017-03-05,,right_only
253,가미카제,2017-02-10,마커스 셰이크셰프,right_only
254,가미카제,2017-02-16,,left_only
273,가위수면마비의기억,2015-07-30,,left_only
274,가위수면마비의기억,2015-08-01,로드니 에스쳐,right_only
398,개인교수심화학습,2016-02-18,정태령,right_only
399,개인교수심화학습,2016-07-21,,left_only
410,갱브라더스마지막대결,2018-08-30,,left_only
411,갱브라더스마지막대결,2018-09-10,제임스 마크,right_only
468,건샤이,2018-05-03,,left_only
469,건샤이,2018-05-23,사이먼 웨스트,right_only
475,걷기좋은날,2018-10-11,,left_only
476,걷기좋은날,2018-10-12,박용주,right_only
485,걸온더트레인,2017-03-01,,left_only
486,걸온더트레인,2017-03-09,테이트 테일러,right_only
516,게임의규칙,2017-05-11,,left_only
517,게임의규칙,2017-06-01,가오 시시,right_only
518,겟더걸,2017-08-10,,left_only
519,겟더걸,2017-08-28,에릭 잉글랜드,right_only
562,고딩감독,2014-12-18,맷 존슨,right_only
563,고딩감독,2014-12-26,,left_only
584,고스트소스제로,2019-01-31,,left_only
585,고스트소스제로,2019-02-12,마크 청,right_only
613,곡성,2016-05-11,,left_only
614,곡성,2016-05-12,나홍진,right_only
628,공각기동대어라이즈보더3고스트티어즈,2014-07-10,,left_only
629,공각기동대어라이즈보더3고스트티어즈,2014-07-17,키세 카즈치카,right_only
630,공공의적살인마,2014-07-30,,left_only
631,공공의적살인마,2014-07-31,더글러스 엘포드-아젠트,right_only
634,공모자들,2012-08-29,김홍선,right_only
635,공모자들,2012-08-30,,left_only
639,공자춘추전국시대,2010-02-11,후메이,right_only
640,공자춘추전국시대,2015-06-11,,left_only
712,구르믈버서난달처럼,2010-04-28,이준익,right_only
713,구르믈버서난달처럼,2010-04-29,,left_only
721,구울,2015-09-10,,left_only
722,구울,2015-09-11,페트 자클,right_only
723,구층요탑전설의부활,2017-04-27,,left_only
724,구층요탑전설의부활,2017-05-10,루 추안,right_only
753,굿바이그리고헬로우,2015-12-24,,left_only
754,굿바이그리고헬로우,2015-12-25,한창근,right_only
766,굿파이터,2017-06-01,,left_only
767,굿파이터,2017-06-21,리비 쳉,right_only
793,그것광대의저주,2018-04-05,,left_only
794,그것광대의저주,2018-04-18,아론 머티스,right_only
809,그녀는거짓말을너무사랑해,2018-01-17,,left_only
810,그녀는거짓말을너무사랑해,2018-01-24,코이즈미 노리히로,right_only
825,그녀의비밀,2013-12-17,토모마츠 나오유키,right_only
826,그녀의비밀,2013-12-18,,left_only
830,그녀의섹스테크닉,2015-10-12,코시자카 야스시,right_only
832,그녀의섹스테크닉,2019-02-07,사카모토 레이,right_only
886,그레이트월,2017-02-15,장예모,right_only
887,그레이트월,2017-02-16,,left_only
890,그렌델,2017-11-23,,left_only
891,그렌델,2017-12-01,윤한민,right_only
905,그린인페르노,2017-07-13,,left_only
906,그린인페르노,2017-07-27,일라이 로스,right_only
917,그사람그사랑그세상,2014-11-20,권혁만,right_only
918,그사람그사랑그세상,2015-03-26,,left_only
919,그사람추기경,2014-08-06,전성우,right_only
920,그사람추기경,2014-08-07,,left_only
921,그시절우리가좋아했던소녀,2012-08-22,구파도,right_only
922,그시절우리가좋아했던소녀,2012-08-23,,left_only
924,그여름의정사,2014-07-09,파올로 프란키,right_only
925,그여름의정사,2014-07-10,,left_only
951,극장판도라에몽진구와기적의섬애니멀어드벤처,2012-07-25,쿠스바 고조,right_only
952,극장판도라에몽진구와기적의섬애니멀어드벤처,2012-07-26,,left_only
959,극장판도라에몽진구의인어대해전,2010-07-28,쿠스바 고조,right_only
960,극장판도라에몽진구의인어대해전,2010-07-29,,left_only
971,극장판메탈베이블레이드VS태양작열의침략자솔블레이즈,2011-01-05,스기시마 쿠니히사,right_only
972,극장판메탈베이블레이드VS태양작열의침략자솔블레이즈,2011-01-06,,left_only
1057,근거리연애,2017-09-10,쿠마자와 나오토,right_only
1058,근거리연애,2017-09-14,,left_only
1063,글래디에이터로마영웅탄생의비밀3D,2013-03-14,이기니오 스트라피,right_only
1064,글래디에이터로마영웅탄생의비밀3D,2013-07-25,,left_only
1079,금병매,2010-12-09,,left_only
1080,금병매,2016-09-08,전문기,right_only
1083,금붕어여자,2016-10-27,,left_only
1084,금붕어여자,2016-11-10,이시이 가쿠류,right_only
1095,금지된섹스불륜2,2012-11-15,이숭환,right_only
1096,금지된섹스불륜2,2012-11-22,,left_only
1098,금지된알바,2013-12-31,쿠니 사와,right_only
1099,금지된알바,2014-01-01,,left_only
1123,기생령,2011-08-04,,left_only
1124,기생령,2011-08-05,고석진,right_only
1141,기적의피아노,2017-10-23,드미트리어스 나바로,right_only
1142,기적의피아노,2017-10-26,,left_only
1200,꽃과나비,2012-08-30,,left_only
1201,꽃과나비,2012-09-01,카나자와 카츠지,right_only
1244,나는사랑과시간과죽음을만났다,2017-03-05,데이빗 프랭클,right_only
1245,나는사랑과시간과죽음을만났다,2017-03-29,,left_only
1348,나의선택잊혀진가방그못다한이야기,2010-07-29,,left_only
1349,나의선택잊혀진가방그못다한이야기,2011-11-17,김상철,right_only
1430,남편만몰라요,2015-07-07,고광현,right_only
1431,남편만몰라요,2015-09-30,,left_only
1478,낭만파남편의편지,2012-12-19,,left_only
1479,낭만파남편의편지,2013-09-12,최낙권,right_only
1513,내동생의아내,2016-10-17,카에데,right_only
1514,내동생의아내,2019-01-14,조태호,right_only
1580,내애인의엄마내여자가되던날,2017-08-28,이진,right_only
1581,내애인의엄마내여자가되던날,2017-12-20,,left_only
1596,내여자친구의엄마,2016-06-07,칸바라 이쿠토,right_only
1597,내여자친구의엄마,2018-12-04,김부곤,right_only
1716,네얼간이와장례식,2018-09-14,,left_only
1717,네얼간이와장례식,2018-10-04,마크 램프렐,right_only
1723,네이키드보이즈싱잉,2010-02-01,"로버트 쉬록크,트로이 크리스찬",right_only
1724,네이키드보이즈싱잉,2010-02-08,,left_only
1727,네이키드청춘,2016-08-18,,left_only
1728,네이키드청춘,2016-10-18,래리 클락,right_only
1744,노다메칸타빌레최종악장,2010-01-13,,left_only
1745,노다메칸타빌레최종악장,2011-01-13,"카와무라 야스히로,타케우치 히데키",right_only
1756,노르웨이의숲,2010-09-02,,left_only
1757,노르웨이의숲,2010-09-30,노진수,right_only
1782,노스맨바이킹과늑대군단,2016-04-14,,left_only
1783,노스맨바이킹과늑대군단,2016-04-28,클라우디오 파,right_only
1784,노스페이스,2010-06-02,필립 슈톨츨,right_only
1785,노스페이스,2010-06-03,,left_only
1789,노엘의선물,2015-01-08,,left_only
1790,노엘의선물,2015-02-05,알렉산더 코페르,right_only
1828,논스톱액시던트,2014-06-04,프레드 올렌 레이,right_only
1829,논스톱액시던트,2014-06-05,,left_only
1855,누나친구2,2017-06-01,채준우,right_only
1856,누나친구2,2017-10-17,,left_only
1865,누드모델,2017-06-01,오상원,right_only
1866,누드모델,2017-06-06,박범수,right_only
1879,눈발,2016-03-01,,left_only
1880,눈발,2017-03-01,조재민,right_only
1887,뉴니스,2017-11-02,,left_only
1888,뉴니스,2017-11-09,드레이크 도리머스,right_only
1904,늑대인간더오리지널,2014-08-06,윌리엄 브렌트 벨,right_only
1905,늑대인간더오리지널,2014-08-07,,left_only
1938,님포매니악볼륨1,2014-06-18,라스 폰 트리에,right_only
1939,님포매니악볼륨1,2014-06-19,,left_only
1971,다윗과골리앗,2016-03-07,,left_only
1972,다윗과골리앗,2016-12-29,월리스 브라더스,right_only
2002,다중살인,2014-12-24,,left_only
2003,다중살인,2015-01-12,마이크 메이홀,right_only
2005,다크,2011-07-14,,left_only
2006,다크,2015-04-09,츠지 히로유키,right_only
2028,다크플레이스,2015-07-15,질스 파겟-브레너,right_only
2029,다크플레이스,2015-07-16,,left_only
2031,다크하트,2018-12-14,루돌프 부이텐닥,right_only
2032,다크하트,2018-12-20,,left_only
2045,단지세상의끝,2017-01-18,자비에 돌란,right_only
2046,단지세상의끝,2017-01-19,,left_only
2077,닷핵퀀텀숨겨진몬스터의비밀,2011-08-17,,left_only
2078,닷핵퀀텀숨겨진몬스터의비밀,2011-08-18,타치바나 마사키,right_only
2104,대니쉬걸,2016-02-17,톰 후퍼,right_only
2105,대니쉬걸,2016-02-18,,left_only
2126,대상해,2013-03-21,,left_only
2127,대상해,2013-04-06,왕정,right_only
