,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
1797,극장판레이디버그미라클스톤의비밀,2018-01-25,프랑스,(주)삼지애니메이션
1798,헤일시저,2016-03-24,미국,유니버설픽쳐스인터내셔널 코리아(유)
1799,아이엠러브,2011-01-20,이탈리아,(주)영화사 조제/(주)영화사 진진
1800,더플랜,2017-04-20,한국,(주)엣나인필름
1801,7번째내가죽던날,2017-05-31,미국,씨네그루(주)키다리이엔티
1802,빅웨딩,2013-06-27,미국,(주)나이너스엔터테인먼트
1803,어메이징메리,2017-10-04,미국,이십세기폭스코리아(주)
1804,복숭아나무,2012-10-31,한국,(주)넥스트엔터테인먼트월드(NEW)
1805,메밀꽃운수좋은날그리고봄봄,2014-08-21,한국,이달투
1806,페이트스테이나이트헤븐즈필제2장로스트버터플라이,2019-03-21,일본,(주)애니플러스
1807,오직사랑하는이들만이살아남는다,2014-01-09,독일/미국/영국/프랑스,찬란
1808,마스터,2013-07-11,미국,(주)영화사 진진
1809,만신,2014-03-06,한국,(주)엣나인필름
1810,코난암흑의시대,2012-04-05,미국,씨제이이앤엠(주)
1811,리틀드래곤코코넛,2015-07-02,독일,(주)영화사 빅
1812,배틀오브비보이,2014-01-09,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
1813,무한대를본남자,2016-11-03,영국,판씨네마(주)
1814,땡큐대디,2015-04-23,프랑스,(주)영화사 빅
1815,태양아래,2016-04-27,독일/러시아/체코,THE 픽쳐스
1816,iam,2012-06-21,한국,씨제이이앤엠(주)
1817,개들의섬,2018-06-21,미국,이십세기폭스코리아(주)
1818,킬유어달링,2014-10-16,미국,(주)영화사 진진
1819,시작은키스,2012-06-14,프랑스,판씨네마(주)
1820,꼬마잠수함올리2,2014-12-04,미국,예지림엔터테인먼트
1821,거미줄에걸린소녀,2018-11-28,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1822,인어공주새로운모험의시작,2016-11-03,중국,예지림엔터테인먼트
1823,다가오는것들,2016-09-29,프랑스,찬란
1824,대결,2016-09-22,한국,(주)스톰픽쳐스코리아/TCO(주)더콘텐츠온
1825,팔로우,2015-04-02,미국,(주)브리즈픽처스/(주)영화사오원
1826,클라우즈오브실스마리아,2014-12-18,독일/스위스/프랑스,(주)나이너스엔터테인먼트
1827,위크엔드인파리,2014-05-01,영국,판씨네마(주)
1828,극장판위베어베어스곰브라더스,2017-08-24,미국,(주)팝엔터테인먼트
1829,극장판프리파라모두모여라프리즘투어즈,2016-10-13,한국,(주)박수엔터테인먼트
1830,극장판유희왕더다크사이드오브디멘션즈,2016-06-09,일본,(주)넥스트엔터테인먼트월드(NEW)
1831,마이블랭키,2014-06-04,스페인/이탈리아/프랑스,(주)마인스 엔터테인먼트
1832,썬키스패밀리,2019-03-27,한국,메가박스중앙(주)플러스엠
1833,꼭두각시,2013-06-20,한국,(주)인벤트스톤
1834,그랜드파더,2016-08-31,한국,(주)디스테이션/(주)인벤트스톤
1835,동경가족,2014-07-31,일본,오드
1836,꼬마니콜라의여름방학,2014-08-21,프랑스,(주)나이너스엔터테인먼트
1837,소명3히말라야의슈바이처,2011-04-07,한국,(주)에스피엠
1838,나는부정한다,2017-04-26,미국/영국,(주)티캐스트
1839,더브레이브,2011-02-24,미국,씨제이엔터테인먼트
1840,초콜렛도넛,2014-10-02,미국,CGV아트하우스
1841,어떤시선,2013-10-24,한국,(주)영화사 진진
1842,러브액츄얼리크리스마스에디션,2013-12-18,미국/영국,(주)팝엔터테인먼트
1843,목숨,2014-12-04,한국,필라멘트픽쳐스
1844,막달라마리아부활의증인,2018-03-28,영국,유니버설픽쳐스인터내셔널 코리아(유)
1845,단지세상의끝,2017-01-18,캐나다/프랑스,(주)엣나인필름
1846,좋아해너를,2017-09-14,일본,(주)디오시네마
1847,앵그리스트맨,2014-10-30,미국,브릿지웍스 엔터테인먼트(주)
1848,다른나라에서,2012-05-31,한국,(주)영화사 조제/(주)영화제작전원사 
1849,신밧드와마법양탄자,2019-02-13,덴마크,(주)박수엔터테인먼트
1850,쿠보와전설의악기,2016-10-26,미국,유니버설픽쳐스인터내셔널 코리아(유)
1851,스노우타임,2016-12-15,캐나다,(주)영화사 빅
1852,바르다가사랑한얼굴들,2018-06-14,프랑스,(주)영화사 진진
1853,벨아미,2012-08-30,영국/이탈리아,(주)에스비에스콘텐츠허브
1854,반지의제왕왕의귀환확장판,2017-01-25,뉴질랜드/미국,(주)디스테이션
1855,마인드스케이프,2014-10-23,스페인,오퍼스픽쳐스(유)
1856,드라이브앵그리3d,2011-08-25,미국,롯데쇼핑㈜롯데엔터테인먼트
1857,지구놀라운하루,2018-02-22,영국,(주)리틀빅픽쳐스
1858,러스트앤본,2013-05-02,프랑스,그린나래미디어(주)
1859,나의사랑그리스,2017-04-20,그리스,(주)팝엔터테인먼트
1860,지골로인뉴욕,2014-09-25,미국,(주)나이너스엔터테인먼트
1861,극장판나루토질풍전로드투닌자,2013-02-21,일본,씨너스엔터테인먼트(주)
1862,체실비치에서,2018-09-20,영국,(주)키위미디어그룹/그린나래미디어(주)
1863,행복배달부팻아저씨,2014-10-09,미국/영국,(주)영화사 빅
1864,테일오브테일즈,2016-11-24,이탈리아/프랑스,오드
1865,33,2016-04-07,미국/칠레,(주)나이너스엔터테인먼트
1866,루터,2017-10-18,독일,THE 픽쳐스
1867,소명2모겐족의월드컵,2010-04-01,한국,(주)에스피엠
1868,내인생의마지막변화구,2012-11-29,미국,워너브러더스 코리아(주)
1869,루비스팍스,2018-05-10,미국,(주)팝엔터테인먼트
1870,춘희막이,2015-09-30,한국,(주)엣나인필름/메가박스중앙(주)플러스엠
1871,너브,2017-01-11,미국,(주)박수엔터테인먼트
1872,몬태나,2018-04-19,미국,판씨네마(주)
1873,벨과세바스찬,2014-03-20,프랑스,그린나래미디어(주)/주식회사 노버스엔터테인먼트
1874,역모반란의시대,2017-11-23,한국,(주)스톰픽쳐스코리아
1875,아이돌마스터무비빛의저편으로,2015-11-19,일본,(주)머스트씨무비릴리징컴퍼니
1876,에브리데이,2018-10-11,미국,(주)홈초이스/그린나래미디어(주)
1877,잉여들의히치하이킹,2013-11-28,한국,CGV아트하우스
1878,왕이될아이,2019-01-16,미국,이십세기폭스코리아(주)
1879,리빙보이인뉴욕,2017-11-09,미국,주식회사 더쿱
1880,꼬마잠수함올리,2014-10-16,중국,예지림엔터테인먼트
1881,다시봄,2019-04-17,한국,(주)스마일이엔티
1882,데스노트더뉴월드,2017-03-29,일본,(주)디스테이션
1883,무협,2011-11-17,홍콩,(주)넥스트엔터테인먼트월드(NEW)
1884,슈퍼스파이수상한임무,2015-10-15,스페인,(주)스톰픽쳐스코리아/TCO(주)더콘텐츠온
1885,분노,2017-03-30,일본,메가박스중앙(주)플러스엠
1886,굿모닝맨하탄,2014-02-06,인도,(주)인벤트스톤
1887,머드,2013-11-28,미국,(주)프레인글로벌
1888,크리미널스쿼드,2018-04-19,미국,(주)이수C&E
1889,극장판암살교실365일의시간,2017-03-23,일본,(주)박수엔터테인먼트
1890,카페6,2016-11-16,대만,(주)라이크 콘텐츠
1891,파울볼,2015-04-02,한국,오퍼스픽쳐스(유)
1892,서프러제트,2016-06-23,미국,유니버설픽쳐스인터내셔널 코리아(유)
1893,걸즈앤판처극장판,2016-08-25,일본,(주)머스트씨무비릴리징컴퍼니
1894,투프렌즈,2018-11-29,러시아,(주)박수엔터테인먼트
1895,박물관이진짜살아있다,2018-11-08,체코,(주)팝엔터테인먼트
1896,마리안느와마가렛,2017-04-20,한국,(주)팝엔터테인먼트
1897,문호스트레이독스데드애플,2018-04-05,일본,(주)애니플러스
1898,나를미치게하는여자,2015-12-10,미국,유니버설픽쳐스인터내셔널 코리아(유)
1899,키드냅,2017-11-22,미국,(주)제이앤씨미디어그룹
1900,스페이스비트윈어스,2017-03-16,미국,씨네그루(주)키다리이엔티
1901,걸온더트레인,2017-03-09,미국,씨제이이앤엠(주)
1902,데인저러스메소드,2012-05-10,독일/스위스/영국/캐나다,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
1903,페어러브,2010-01-14,한국,씨제이엔터테인먼트
1904,코비블루엘리펀트의전설,2013-12-05,태국,(주)영화사 빅
1905,반지의제왕두개의탑확장판,2017-01-18,뉴질랜드/미국,(주)디스테이션
1906,위아유어프렌즈,2015-11-12,미국/영국/프랑스,씨네그루(주)다우기술
1907,팬텀스레드,2018-03-08,미국,유니버설픽쳐스인터내셔널 코리아(유)
1908,토마스와친구들용감한기관차와괴물소동,2016-10-13,영국,와이드 릴리즈(주)
1909,어떤만남,2014-07-31,프랑스,(주)티캐스트콘텐츠허브
1910,라자루스,2015-07-02,미국,(유)조이앤시네마
1911,몬스터헌트,2015-11-12,중국,(주)와우픽쳐스
1912,로스트인파리,2017-05-18,벨기에/프랑스,그린나래미디어(주)
1913,지니어스,2017-04-13,미국/영국,(주)라이크 콘텐츠
1914,피쉬프렌즈알록이의신기한모험,2018-08-30,터키,(주)박수엔터테인먼트
1915,인천상륙작전익스텐디드에디션확장판,2016-09-13,한국,씨제이이앤엠(주)
1916,쏘아올린불꽃밑에서볼까옆에서볼까,2018-01-11,일본,(주)넥스트엔터테인먼트월드(NEW)
1917,해피투게더,2018-11-15,한국,플레이리스트(주)
1918,아워이디엇브라더,2012-11-29,미국,씨너스엔터테인먼트(주)
1919,러브앤머시,2015-07-30,미국,판씨네마(주)
1920,재키,2017-01-25,미국/칠레/프랑스,그린나래미디어(주)
1921,몬스터섬의비밀,2017-09-07,멕시코,(주)박수엔터테인먼트
1922,앙단팥인생이야기,2015-09-10,일본,그린나래미디어(주)
1923,콜드워,2019-02-07,폴란드,아이 엠
1924,아기돼지3형제와매직램프,2017-03-23,중국,(주)팝엔터테인먼트
1925,머신건프리처,2012-05-24,미국,(주)팝파트너스
1926,리멤버미,2011-03-03,미국,㈜케이디미디어
1927,중2병이라도사랑이하고싶어테이크온미,2018-05-10,일본,와이드 릴리즈(주)
1928,원포더머니,2012-02-16,미국,씨너스엔터테인먼트(주)
1929,뉴스텝업어반댄스,2016-09-22,뉴질랜드,THE 픽쳐스
1930,기적의오케스트라엘시스테마,2010-08-12,독일,(주)영화사 진진
1931,집나온남자들,2010-04-08,한국,(주)싸이더스
1932,쾌걸조로리의대대대대모험,2013-06-05,일본,(주)미디어데이
1933,트레이서,2015-03-19,미국,(주)브리즈픽처스/(주)영화사오원
1934,배저로와친구들신비한모험,2017-10-26,노르웨이,와이드 릴리즈(주)
1935,모어댄블루,2018-12-12,대만,오드
1936,원더스트럭,2018-05-03,미국,CGV아트하우스
1937,왓이프,2014-11-13,아일랜드/캐나다,(주)나이너스엔터테인먼트
1938,부니베어로거빅컴백홈프로젝트,2017-06-29,중국,예지림엔터테인먼트
1939,달링,2018-04-12,영국,(주)팝엔터테인먼트
1940,구스범스몬스터의역습,2018-11-07,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1941,서칭포슈가맨,2012-10-11,스웨덴/영국,판씨네마(주)
1942,당신의부탁,2018-04-19,한국,CGV아트하우스
1943,그사람그사랑그세상,2014-11-20,한국,(주)팝엔터테인먼트/THE 픽쳐스
1944,골드,2017-03-22,미국,CGV아트하우스
1945,쿵푸몽키,2018-01-25,중국,(주)박수엔터테인먼트
1946,매직울프,2017-10-03,러시아,(주)박수엔터테인먼트
1947,사다코대카야코,2017-01-04,일본,유니버설픽쳐스인터내셔널 코리아(유)
1948,러빙빈센트비하인드에디션,2018-12-13,영국,(주)이수C&E
1949,선샤인온리스,2014-09-03,영국,(주)팝엔터테인먼트
1950,예언자,2010-03-11,프랑스,판씨네마(주)
1951,매직마이크,2012-08-01,미국,(주)나이너스엔터테인먼트
1952,양말요정휴고의대모험,2018-09-06,슬로바키아/체코/크로아티아,와이드 릴리즈(주)
1953,트래쉬,2015-05-14,미국,유니버설픽쳐스인터내셔널 코리아(유)
1954,꼬마영웅경찰차프로디2,2014-03-20,노르웨이,예지림엔터테인먼트
1955,정글북마법원정대,2019-03-21,러시아,(주)박수엔터테인먼트
1956,하이큐콘셉트의싸움,2018-01-11,일본,(주)팝엔터테인먼트
1957,영주,2018-11-22,한국,CGV아트하우스
1958,빅픽처,2013-07-04,프랑스,(주)드림웨스트픽쳐스
1959,쥬로링동물탐정극장판,2014-12-18,일본/한국,롯데쇼핑㈜롯데엔터테인먼트
1960,슈퍼버드,2017-04-06,멕시코,와이드 릴리즈(주)
1961,모험왕블링키,2019-02-20,호주,(주)라이크 콘텐츠
1962,겨울왕국의무민,2018-02-08,폴란드/핀란드,(주)팝엔터테인먼트
1963,밀림의왕자레오세상을바꾸는용기,2012-02-29,일본,(주)박수엔터테인먼트/에이원엔터테인먼트
1964,하이라이즈,2016-03-30,영국,찬란
1965,환상의그대,2011-01-27,미국,(주)티캐스트
1966,메소드,2017-11-02,한국,(주)엣나인필름
1967,키즈모노가타리i철혈편,2016-06-30,일본,(주)박수엔터테인먼트
1968,내어깨위고양이밥,2017-01-04,영국,(주)누리픽쳐스
1969,카이거울호수의전설,2016-08-17,한국,메가박스중앙(주)플러스엠
1970,진격의거인홍련의화살,2015-01-28,일본,(주)박수엔터테인먼트
1971,스즈미야하루히의소실,2010-11-11,일본,에이원엔터테인먼트
1972,종이달,2015-07-23,일본,(주)영화사오원/(주)퍼스트런
1973,노크초대받지않은손님,2018-10-11,미국,(주)삼백상회
1974,원라이프,2011-08-17,영국,씨제이이앤엠(주)
1975,스파이크,2013-12-05,프랑스,선필름/예지림엔터테인먼트
1976,슈퍼오리태양을지켜라,2017-08-31,러시아,와이드 릴리즈(주)
1977,꿈의제인,2017-05-31,한국,(주)엣나인필름/CGV아트하우스
1978,나이스가이즈,2016-07-06,미국,메가박스중앙(주)플러스엠
1979,더데이,2012-02-23,한국,롯데쇼핑㈜롯데시네마
1980,러브라이브선샤인더스쿨아이돌무비오버더레인보우,2019-02-14,일본,(주)애니플러스
1981,레전드오브래빗불의전설,2015-09-24,중국,(주)팝엔터테인먼트
1982,폭스캐처,2015-02-05,미국,그린나래미디어(주)
1983,캡틴스터비,2018-11-01,미국/아일랜드/영국/캐나다/프랑스,(주)디스테이션
1984,grow인피니트의리얼청춘라이프,2014-12-04,한국,골든타이드픽처스(주)
1985,프라미스드랜드,2013-12-12,미국,CGV아트하우스
1986,언노운걸,2017-05-03,벨기에/프랑스,오드
1987,고스트메신저극장판,2014-05-22,한국,에이원엔터테인먼트
1988,자전거탄소년,2012-01-19,벨기에/프랑스,(주)티캐스트
1989,님포매니악볼륨2,2014-07-03,덴마크/독일/벨기에/영국/프랑스,CGV아트하우스
1990,사요나라이츠카,2010-04-15,일본/태국/한국,씨제이엔터테인먼트
1991,타임투러브,2014-10-23,미국,(주)인벤트스톤
1992,사이코패스,2015-05-28,일본,(주)박수엔터테인먼트
1993,연애담,2016-11-17,한국,(주)인디플러그
1994,디노타샤공룡대탐험,2014-01-29,미국,(주)영화사 빅
1995,폭풍의언덕,2012-06-28,영국,찬란
1996,하이스피드프리스타팅데이즈,2016-03-24,일본,(주)박수엔터테인먼트
1997,빨간머리앤그린게이블로가는길,2013-01-09,일본,(주)미디어데이
1998,제인도,2017-08-23,미국/영국,오퍼스픽쳐스(유)
1999,코드네임제로니모,2012-12-13,미국,씨너스엔터테인먼트(주)
2000,언프렌드,2017-02-09,독일,(주)크리픽쳐스
2001,토마스와친구들수수께끼해적선과보물찾기,2017-06-29,영국,KBS 미디어
2002,개들의전쟁,2012-11-22,한국,롯데쇼핑㈜롯데엔터테인먼트
2003,미스터캣,2016-10-19,중국/프랑스,(주)리틀빅픽쳐스
2004,아우토반,2017-03-22,독일/영국,와이드 릴리즈(주)
2005,부에노스아이레스에서사랑에빠질확률,2013-09-12,독일/스페인/아르헨티나,(주)영화사 진진
2006,세라비이것이인생,2018-05-30,프랑스,(주)디스테이션
2007,사울의아들,2016-02-25,헝가리,그린나래미디어(주)
2008,노무현과바보들,2019-04-18,한국,(주)라이크 콘텐츠/오키넷
2009,윈드랜드,2015-04-02,이탈리아,예지림엔터테인먼트
2010,로건럭키,2018-03-14,미국,(주)스톰픽쳐스코리아
2011,꼬마마녀요요와네네,2013-12-25,일본,㈜T-JOY/씨너스엔터테인먼트(주)
2012,스페이스침스자톡의역습3d,2010-08-19,미국,㈜케이디미디어
2013,리틀뱀파이어,2018-01-18,독일/미국,(주)이수C&E
2014,비정한도시감독판,2012-10-25,한국,(주)인벤트스톤
2015,거인,2014-11-13,한국,필라멘트픽쳐스
2016,봄눈,2012-04-26,한국,(주)넥스트엔터테인먼트월드(NEW)
2017,알렉스크로스,2013-03-14,미국,(주)인벤트스톤
2018,디트로이트,2018-05-31,미국,그린나래미디어(주)
2019,극장판프리테이크유어마크,2018-04-12,일본,(주)디스테이션
2020,유리정원,2017-10-25,한국,(주)리틀빅픽쳐스
2021,45년후,2016-05-05,영국,판씨네마(주)
2022,윌리,2018-10-25,말레이시아,㈜코리아스크린
2023,펭이와친구들의남극대모험,2018-02-28,중국,와이드 릴리즈(주)
2024,히어로,2013-10-08,한국,(주)마인스 엔터테인먼트
2025,레이디맥베스,2017-08-03,영국,주식회사 씨네룩스
2026,지상의별처럼,2012-09-06,인도,(주)엣나인필름
2027,피나,2012-08-30,독일/영국/프랑스,㈜영화사 백두대간
2028,짓,2013-09-25,한국,(주)팝파트너스
2029,피아니스트세이모어의뉴욕소네트,2016-04-07,미국,(주)영화사 진진
2030,송투송,2017-07-26,미국,CGV아트하우스
2031,마징가z인피니티,2018-05-17,일본,(주)이수C&E
2032,스킵트레이스합동수사,2016-08-31,미국/중국/홍콩,(주)영화사 빅
2033,미스터스마일,2018-12-27,미국,(주)티캐스트
2034,콜레트,2019-03-27,미국/영국/헝가리,(주)넥스트엔터테인먼트월드(NEW)/(주)팬엔터테인먼트
2035,엘리제궁의요리사,2015-03-19,프랑스,판씨네마(주)
2036,파워배틀와치카와치가면의역습,2017-06-01,한국,(주)삼지애니메이션
2037,엔들리스러브,2014-03-13,미국,유니버설픽쳐스인터내셔널 코리아(유)
2038,사이비,2013-11-21,한국,(주)넥스트엔터테인먼트월드(NEW)
2039,드래곤볼z부활의f,2015-10-01,일본,씨제이이앤엠(주)
2040,까밀리와인드,2013-07-18,프랑스,(주)엣나인필름
2041,아이캔온리이매진,2018-06-21,미국,(주)영화사 그램/TCO(주)더콘텐츠온
2042,터닝메카드w반다인의비밀특별판,2018-02-08,한국,(주)아컴스튜디오/(주)제이앤씨미디어그룹
2043,천하무적키코리키,2014-07-17,러시아,와이드 릴리즈(주)
2044,원더휠,2018-01-25,미국,(주)팝엔터테인먼트
2045,행복목욕탕,2017-03-23,일본,(주)디스테이션
2046,숲속왕국의꿀벌여왕,2019-03-14,프랑스,(주)팝엔터테인먼트
2047,레이드첫번째습격,2012-05-17,인도네시아,씨제이이앤엠(주)
2048,시크릿인데어아이즈,2016-04-27,미국,판씨네마(주)
2049,히야,2016-03-10,한국,(주)라이크 콘텐츠
2050,안녕나의소울메이트,2017-12-07,홍콩,(주)나이너스엔터테인먼트
2051,차일드44,2015-05-28,미국,(주)넥스트엔터테인먼트월드(NEW)
2052,내게남은사랑을,2017-11-02,한국,(주)비엠컬쳐스
2053,빌리엘리어트뮤지컬라이브,2014-11-27,미국,유니버설픽쳐스인터내셔널 코리아(유)
2054,무문관,2018-04-19,한국,영화사 마농(주)
2055,초원의왕도제,2014-03-27,일본,(주)나이너스엔터테인먼트
2056,더길티,2019-03-27,덴마크,(주)팝엔터테인먼트
2057,아마조니아,2015-08-05,브라질/프랑스,(주)아컴스튜디오/(주)영화사 빅
2058,그랑블루리마스터링감독판,2013-07-25,이탈리아/프랑스,(주)팝파트너스
2059,이브생로랑,2014-06-26,프랑스,(주)블룸즈베리파트너스
2060,죄많은소녀,2018-09-13,한국,CGV아트하우스
2061,리즈와파랑새,2018-10-09,일본,(주)디스테이션/플레이리스트(주)
2062,철벽선생,2019-03-14,일본,(주)미디어캐슬
2063,휘트니,2018-08-23,미국,판씨네마(주)
2064,플레이스비욘드더파인즈,2013-08-01,미국,(주)미디어데이
2065,스테이션7,2017-12-07,러시아,(주)영화사 진진
2066,유고와라라신비의숲어드벤처,2014-10-02,중국,(주)프레인글로벌
2067,다이노헌터티렉스vs파키리노대격돌,2018-05-17,영국,(주)박수엔터테인먼트
2068,그랜드피아노,2014-04-17,스페인,와이드 릴리즈(주)
2069,아기기린자라파,2013-02-14,벨기에/프랑스,롯데쇼핑㈜롯데엔터테인먼트
2070,나쁜나라,2015-12-03,한국,(주)시네마달/<나쁜 나라> 배급위원회
2071,콜링인러브,2010-03-25,미국,㈜케이디미디어
2072,워리어,2011-11-02,미국,(주)화앤담이엔티
2073,호밀밭의반항아,2018-10-18,미국,(주)트리플픽쳐스
2074,리노,2019-03-07,브라질,(주)스톰픽쳐스코리아
2075,플라이트,2013-02-28,미국,씨제이이앤엠(주)
2076,세기의매치,2016-01-28,미국,판씨네마(주)
2077,프란츠,2017-07-20,프랑스,찬란
2078,토너먼트,2010-09-02,영국,주식회사 마운틴픽쳐스
2079,로얄어페어,2012-12-27,덴마크/독일/스웨덴/체코,(주)화인픽쳐스
2080,바그다드카페디렉터스컷,2016-07-14,독일/미국,(주)팝엔터테인먼트
2081,극장판뛰뛰빵빵구조대미션둥둥이를구하라,2014-08-07,한국,메가박스중앙(주)플러스엠
2082,쏘우여섯번의기회,2010-01-07,미국,(주)빅버젯
2083,천안함프로젝트,2013-09-05,한국,(주)아우라픽처스
2084,완전소중한사랑,2013-11-21,한국,주식회사 마운틴픽쳐스
2085,난그녀와키스했다,2015-07-22,프랑스,(주)엣나인필름
2086,파수꾼,2011-03-03,한국,필라멘트픽쳐스
2087,사랑의침묵,2012-10-11,영국,(주)영화사 진진
2088,극장판어드벤처타임비밀의아일랜드,2017-04-13,미국,(주)팝엔터테인먼트
2089,빌리진킹세기의대결,2017-11-16,미국/영국,이십세기폭스코리아(주)
2090,러브레이스,2013-10-17,미국,씨너스엔터테인먼트(주)
2091,60만번의트라이,2014-09-18,일본/한국,㈜인디스토리
2092,대학살의신,2012-08-16,독일/스페인/폴란드/프랑스,판씨네마(주)
2093,세상의끝까지21일,2013-08-14,미국,(주)드림웨스트픽쳐스
2094,카메라를멈추면안돼,2018-08-23,일본,(주)디오시네마/(주)영화사 그램
2095,파괴자들,2012-10-31,미국,유니버설픽쳐스인터내셔널 코리아(유)
2096,커플테라피대화가필요해,2010-02-25,미국,유니버설픽쳐스인터내셔널 코리아(유)
2097,극장판가면라이더이그제이드트루엔딩,2018-10-09,일본,(주)이수C&E
2098,라이프,2015-10-15,독일/미국/오스트리아 /캐나다,(주)영화사오원/(주)프레인글로벌
2099,웨딩스캔들,2012-09-06,한국,(주)마인스 엔터테인먼트
2100,칠드런오브맨,2016-09-22,미국/영국,(주)씨네클럽봉봉미엘/영화사 마농(주)
2101,픽시,2018-08-23,러시아,(주)팝엔터테인먼트
2102,디스커넥트,2013-11-07,미국,(주)영화사 빅
2103,b급며느리,2018-01-17,한국,(주)에스와이코마드/글뫼 주식회사
2104,스페이스독2,2014-12-11,러시아,(주)지어소프트
2105,나의위대한친구세잔,2016-12-15,프랑스,그린나래미디어(주)
2106,사막에서연어낚시,2014-10-16,영국,(유)영화사 화수분/(주)나이너스엔터테인먼트
2107,테이크다운,2013-04-18,미국/영국,(주)에스비에스콘텐츠허브
2108,립반윙클의신부,2016-09-28,일본,TCO(주)더콘텐츠온/주식회사 더쿱
2109,커터,2016-03-30,한국,(주)스톰픽쳐스코리아
2110,마릴린먼로와함께한일주일,2012-02-29,미국/영국,(주)싸이더스
2111,트립투이탈리아,2015-06-04,영국,찬란
2112,트루스,2016-08-24,미국,(주)라이크 콘텐츠
2113,이레셔널맨,2016-07-21,미국,(주)프레인글로벌
2114,부니베어나무도둑의습격,2017-09-14,중국,예지림엔터테인먼트
2115,달팽이의별,2012-03-22,한국,(주)영화사조아
2116,레토,2019-01-03,러시아/프랑스,(주)엣나인필름/플레이리스트(주)
2117,엘시크레토비밀의눈동자,2010-11-11,스페인/아르헨티나,(주) 포커스픽쳐
2118,에코,2014-10-08,미국,(주)박수엔터테인먼트/(주)필름오마쥬
2119,소녀,2013-11-07,한국,씨제이이앤엠(주)
2120,애프터러브,2010-01-21,이탈리아,라인트리엔터테인먼트 
2121,부도리의꿈,2013-01-30,일본,(주)나이너스엔터테인먼트
2122,슈퍼처방전,2014-12-10,벨기에/프랑스,(주)영화사 빅
2123,상실의시대,2011-04-21,일본,예지림엔터테인먼트
2124,토마스와친구들극장판3,2011-05-05,영국,에이원엔터테인먼트
2125,물의기억,2019-05-15,한국,롯데컬처웍스(주)롯데엔터테인먼트
2126,누구에게나찬란한,2014-11-06,한국,CGV아트하우스
2127,프란치스코,2016-03-10,스페인/아르헨티나/이탈리아,스튜디오 프로그레시브 인큐베이터
2128,돼지의왕,2011-11-03,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
2129,슬립리스크리미널나이트,2017-03-08,미국,(주)미디어로그
2130,드라이브,2011-11-17,미국,판씨네마(주)
2131,로렌스애니웨이,2013-12-19,캐나다/프랑스,(주)엣나인필름
2132,꼬마영웅바비,2018-05-30,중국,와이드 릴리즈(주)
2133,비기너스,2011-11-10,미국,유니버설픽쳐스인터내셔널 코리아(유)
2134,섬사라진사람들,2016-03-03,한국,(주)콘텐츠판다
2135,그후,2017-07-06,한국,(주)영화제작전원사 /(주)콘텐츠판다
2136,아이앰히스레저,2017-10-19,캐나다,오드
2137,다음침공은어디,2016-09-08,미국,판씨네마(주)
2138,비포치즈와초콜릿을찾아서,2014-07-10,이스라엘,(주)영화사 빅
2139,무민더무비,2015-08-13,프랑스/핀란드,(주)팝엔터테인먼트
2140,트와이스랜드,2018-12-07,한국,씨제이 씨지브이(CJ CGV)(주)
2141,쿼바디스,2014-12-10,한국,주식회사 단유필름/주식회사 푸르모디티
2142,신서유기몽키킹의부활,2017-11-02,중국,예지림엔터테인먼트
2143,액슬,2018-10-18,미국,(주)팝엔터테인먼트
2144,은혼,2017-12-07,일본,(주)라이크 콘텐츠
2145,스페이스치킨마법부적의비밀,2018-10-25,미국,(주)박수엔터테인먼트
2146,이디야와얼음왕국의전설,2014-02-27,캐나다,(주)미디어데이
2147,한경직,2012-09-13,한국,주식회사 마운틴픽쳐스
2148,비비안마이어를찾아서,2015-04-30,미국,오드
2149,리그레션,2015-10-15,스페인/캐나다,(주)박수엔터테인먼트
2150,버스657,2016-01-14,미국,(주)스톰픽쳐스코리아
2151,인카네이트,2017-05-25,미국,판씨네마(주)
2152,초민망한능력자들,2011-07-07,미국/영국,팝엔터테인먼트
2153,본타땅콩왕국의전설,2014-10-30,중국,(주)팝엔터테인먼트
2154,옐로우버드,2015-02-18,프랑스,(주)브리즈픽처스/(주)영화사오원
2155,캡틴하록,2014-01-16,일본,(주)박수엔터테인먼트
2156,오즈의마법사2,2017-05-03,멕시코,㈜코리아스크린
2157,당신자신과당신의것,2016-11-10,한국,(주)영화제작전원사 /(주)콘텐츠판다
2158,퍼펙트,2013-09-25,미국,(주)마인스 엔터테인먼트
2159,불량소녀너를응원해,2016-09-21,일본,글뫼 주식회사
2160,셰임,2013-05-09,영국,㈜영화사 백두대간
2161,환상의빛,2016-07-07,일본,주식회사 씨네룩스
2162,이별계약,2013-06-20,중국/한국,씨제이이앤엠(주)
2163,멜랑콜리아,2012-05-17,덴마크/독일/스웨덴/이탈리아/프랑스,(주)팝엔터테인먼트
2164,나라타주,2018-03-08,일본,(주)팝엔터테인먼트
2165,괜찮아요미스터브래드,2017-09-21,미국,(주)누리픽쳐스/(주)영화사 진진
2166,로빈슨의언더워터어드벤처,2018-11-15,러시아,(주)박수엔터테인먼트
